"","x"
"1","110000"
"2","1100000"
"3","1200000"
"4","1300000"
"5","1400000"
"6","1500000"
"7","170000"
"8","1700000"
"9","2100000"
"10","2200000"
"11","2300000"
"12","2400000"
"13","2500000"
"14","260000"
"15","2600000"
"16","2700000"
"17","280000"
"18","2800000"
"19","290000"
"20","2900000"
"21","3100000"
"22","3200000"
"23","330000"
"24","3300000"
"25","3345014"
"26","3345022"
"27","3345030"
"28","3345048"
"29","3345055"
"30","3345063"
"31","3345071"
"32","3345089"
"33","3345097"
"34","3345105"
"35","3345113"
"36","3345121"
"37","3345139"
"38","3345147"
"39","3345154"
"40","3345162"
"41","3345170"
"42","3345188"
"43","3345196"
"44","3345204"
"45","3345212"
"46","3345220"
"47","3345238"
"48","3345246"
"49","3345253"
"50","3345261"
"51","350000"
"52","3500000"
"53","3580024"
"54","3580388"
"55","3580495"
"56","3580586"
"57","410000"
"58","4100000"
"59","4200000"
"60","4300000"
"61","5100000"
"62","520000"
"63","5200000"
"64","5300000"
"65","5301007"
"66","5303003"
"67","5304001"
"68","5305008"
"69","5306006"
"70","5307004"
"71","5308002"
"72","5309000"
"73","5312004"
"74","5313002"
"75","5314000"
"76","5315007"
"77","539906"
"78","539914"
"79","539927"
"80","5e+06"
"81","9900101"
"82","9900141"
